1,866 0.204359047192,1106 0.198626258601,1107 0.191133001662,1069 0.166307780107,98 0.162063378732,1168 0.158453797262,2319 0.146471793179,1657 0.142599435558,2151 0.139511451709,2371 0.13490034664,189 0.134826542752,p1410 0.134075797386,2629 0.131045783919,2796 0.126362395778,163 0.122785133685,1938 0.121411251588,2917 0.121387929527,171 0.120345582492,157 0.115355155725,6 0.114301001922,1752 0.113784848781,1071 0.112806545714,135 0.112236625779,1461 0.111449797538,148 0.107566553536,1749 0.10692291225,61 0.104814324129,2069 0.104653615338,p1572 0.103921158932,1755 0.103800116111,198 0.102436991138,50 0.101923016929,3174 0.100845244463,971 0.100562032479,105 0.100174784508,2218 0.100102822239,67 0.0994269064554,1440 0.0993210913395,2219 0.0990313107096,p1605 0.0985976269172,2522 0.0962513585863,1519 0.0941769514307,1161 0.0939683894605,271 0.0932196118308,1753 0.0922152555043,3069 0.0920255142793,2054 0.091882083747,2439 0.0915965325753,118 0.0912738512812,1685 0.0907524376702,2357 0.0906048295925,2317 0.0881367564539,1391 0.087827713905,2070 0.0877198721975,1523 0.0874845228924,975 0.0871049009732,69 0.0868745048746,2379 0.0863501020435,1844 0.0859920763825,31 0.0855876066335,234 0.085476431431,2424 0.0853193264954,1462 0.0852646311759,2378 0.0852279223149,3048 0.0846083818798,1827 0.0842049228388,2950 0.0840068927353,1642 0.0839400396575,2920 0.082994205085,999 0.0827076398912,2621 0.0826817934307,1506 0.0824501207716,1960 0.0816760794075,433 0.0816434220544,1310 0.0812735471449,2535 0.0812200460347,1209 0.0812159857859,397 0.0812116393063,827 0.0811482577109,2340 0.0809362511272,3127 0.0807420844692,698 0.080261843842,47 0.0801533471341,1805 0.0799203833794,415 0.0795548316089,265 0.0784260538959,1901 0.0783566596229,2685 0.0783075950231,2036 0.0782841947277,1304 0.0776224282268,3025 0.0775336368,166 0.0772074415945,1236 0.0771517176392,1854 0.0767000580101,2624 0.0764983055381,1408 0.0761482786808,p2358 0.0759602282266,2500 0.0754864980445,1680 0.0754011273845,1046 0.0748548203025
2,597 0.182899377846,1183 0.104294735689,847 0.0993807675626,1168 0.097422732635,492 0.0891389753669,1014 0.0887170963904,1305 0.0876188270215,1867 0.0853962251687,435 0.0816294225653,1214 0.0800889218943,1046 0.079337273613,1424 0.0766092583856,397 0.0762805034265,1345 0.0714754008412,1623 0.0714631257239,1215 0.0707031965461,3189 0.0692137224447,2439 0.0682408452673,1625 0.066176281814,1498 0.0642530863078,971 0.0583353406701,2645 0.0566366602044,1861 0.0557519781506,1549 0.0545581575185,3202 0.0541515362424,1439 0.0534635923136,1486 0.0534518782513,2356 0.0526067873042,1523 0.0523956715336,1397 0.0518251940284,1117 0.0508908443907,1403 0.0506567368335,3201 0.0506550668812,3204 0.0502824672607,728 0.0499288822617,531 0.0494453852521,3127 0.0477416442728,942 0.0473423038098,2912 0.0471113062838,2937 0.0469709152088,1348 0.0464578595195,1464 0.0462986789313,2456 0.0461850887486,1503 0.0460212130999,1391 0.0459831464724,1334 0.0455503384263,1564 0.0454711376009,1542 0.0449259270984,2943 0.0442507508616,2519 0.0441825585996,282 0.0441684364642,1591 0.0430281217787,1427 0.0423952590653,1926 0.0417328278728,2939 0.0416327620076,3080 0.0409437146087,1161 0.0406209397429,3199 0.0406082254939,616 0.0403478263142,2850 0.0394718048747,1468 0.0387553762817,3005 0.0376604142666,2317 0.0374082117315,2812 0.0372086200168,1315 0.0371870415649,1676 0.0366741489614,1854 0.0366112694275,1939 0.0361486529501,2092 0.0356431797781,2383 0.035212189747,1469 0.0342630296278,1811 0.0339642262803,321 0.0335559683228,1145 0.0334947154634,1705 0.0334004538283,2096 0.0326404411326,1671 0.0324148752237,1264 0.0319550845999,1680 0.0319208406191,2471 0.0314011853688,2217 0.0302199526633,1741 0.0291250007438,2002 0.0254378671605,3077 0.0252688727395,3160 0.0252353720378,2483 0.0243985869414,2233 0.0171112401494
3,1313 0.293645054381,929 0.282162015172,62 0.260605548425,1304 0.24506222642,1142 0.236271082243,920 0.233157983664,51 0.222618856769,651 0.203910062863,1521 0.202847141154,1138 0.196054473901,100 0.186918017372,77 0.184671264456,265 0.183769274557,2066 0.180310096807,2587 0.167698326126,799 0.167536892376,1496 0.167073173013,2411 0.164419534176,762 0.161623353888,2061 0.157328438523,661 0.156147981144,1102 0.155507168884,1154 0.154288878331,463 0.151957547841,1466 0.150792803431,2666 0.148011181436,628 0.14693723014,2551 0.14676511599,1988 0.146045004786,2658 0.136851796188,205 0.132467416359,2659 0.130000362459,70 0.128328683447,2921 0.126744819709,2112 0.120260557264,249 0.120027388523,2939 0.119987014208,1746 0.119436171575,1402 0.119256553158,1611 0.118968090957,3189 0.117966430191,1658 0.115638260794,2886 0.114959974092,2579 0.114429410755,2495 0.11421349716,3030 0.112449331271,1223 0.112404935927,252 0.11147194224,3144 0.111167581622,3093 0.110960629539,1007 0.110347054091,1788 0.109613386762,3102 0.109503171803,2629 0.108373509451,2136 0.107074669602,2814 0.107072594065,p1134 0.103895905465,2295 0.102991658929,2685 0.102822503713,2138 0.100997454022,1783 0.100289248161,2732 0.0998227433879,2684 0.0969864688341,1350 0.0953202261078,1785 0.0948600649255,2449 0.0941419129361,1488 0.0938314377852,1387 0.0934491516229,2609 0.0931385854619,2517 0.0920442940904,1723 0.0917432180594,3115 0.0892187493985,1682 0.0888471819432,1314 0.0887515516699,2062 0.0885880894579,2929 0.0880210729189,1565 0.0865592691336,1029 0.0861287895407,1386 0.0855969969203,3099 0.0850572570737,2111 0.0849673818427,2661 0.0845070658537,1062 0.0840955166082,2647 0.0835223754958,2534 0.083268178899,1683 0.0827788934081,1306 0.0814867181754,1392 0.0814800695697,284 0.0802418089096,2179 0.0797649033575,1852 0.0796357250012,1459 0.0790918706869,2871 0.0789377383783,2456 0.0787169054817,2708 0.0785849556335,2867 0.0785282539338,1135 0.0784602364886,3130 0.0779716587308,1533 0.0778307531419,3151 0.0777328526511
4,2939 0.146817891268,2377 0.140706629382,p3128 0.137527268537,p3043 0.135915047901,2844 0.129227268375,1135 0.108337792974,483 0.105959439652,2958 0.105504345434,3049 0.0926422574917,412 0.0926133214289,2895 0.0917124835804,3148 0.0904970821109,1153 0.0892563711985,2848 0.0882364761974,3141 0.0879108418764,3103 0.0875938671833,1484 0.0870045316085,2376 0.0865219391186,1014 0.0859528145444,2900 0.0847437020564,2931 0.0842917631044,p2371 0.0839463391982,3171 0.0836078345355,91 0.082738755493,2438 0.0818535345654,3105 0.0817908985082,232 0.0816939317999,74 0.0816939317999,2342 0.081373676859,2519 0.0804943220822,2080 0.080207826126,1485 0.0786283581906,1860 0.0767493828933,2851 0.0767280361982,2742 0.0761878843618,2870 0.0750690762649,1458 0.074212357478,1829 0.0733058070769,2890 0.0732616820989,2969 0.0729864473589,876 0.0723690193526,425 0.0723690193526,2840 0.0721344149996,2439 0.071491014085,1905 0.0710876585408,346 0.0708759636565,877 0.0708759636565,883 0.0707659215182,975 0.0704923413806,345 0.0702685051994,409 0.0698339134385,2626 0.0696057803552,1682 0.069581259068,2949 0.0694256880222,253 0.0690604124192,2936 0.0684436498239,1534 0.0670665935101,2767 0.0670411005036,3120 0.0658736444442,69 0.0654198704346,p3073 0.0647719157509,88 0.0646087713088,1943 0.0642267300818,3184 0.0641467807872,2060 0.0634332347275,2877 0.0630926130295,2932 0.0628978513847,2314 0.062310282461,1399 0.0612213681619,2632 0.0610534409312,52 0.0608470648746,1463 0.0605034541691,2558 0.0601638803102,2929 0.0599433343262,2017 0.0598679693103,1754 0.0592207970366,1595 0.0589200911137,2701 0.0579785602809,1494 0.0577384654264,1369 0.0576107335539,2356 0.0572809382335,1736 0.0572126894718,3064 0.0571810533836,2232 0.0569411076775,2450 0.0568948920717,2816 0.056576895723,2457 0.0564038604796,1527 0.0563852511273,1483 0.0557839092384,1518 0.0555883021043,435 0.055549254624,616 0.0554309397377,p3127 0.0553108061432,2738 0.054459814405,1145 0.0542738571543,1588 0.0541506999241,403 0.0540729078178,20 0.0534039650155,3069 0.0532218188527,2152 0.0531139728961
5,2960 0.179892870071,1829 0.141037488703,493 0.133082851736,491 0.131714802295,333 0.131007900837,173 0.126791393443,p2299 0.12651792573,1923 0.125718446123,2629 0.119911589679,2321 0.114493939771,1937 0.113040488341,1978 0.112448185411,p756 0.10852122414,3011 0.10573906643,p2035 0.105711167847,2873 0.105181221473,1053 0.103761922169,529 0.103575683451,153 0.103401888139,3147 0.10235152577,892 0.102037839598,1960 0.0994551725386,1101 0.0983273973553,1699 0.0968086861331,2003 0.0966596872596,164 0.0959745805253,1682 0.0937399860345,1742 0.0935506570192,2169 0.0913861302427,1281 0.0869229832079,3137 0.0867254984993,1571 0.0855461789825,1746 0.0850537184776,2271 0.0850041599488,2357 0.0845797256576,117 0.0843330026108,1395 0.0838368797013,267 0.0829745172607,2106 0.0821645899865,537 0.0815898039394,1252 0.0811693760925,1270 0.0808585502672,23 0.080666093134,1409 0.0797977919225,2689 0.0780214804547,3050 0.0779303589778,1605 0.0775723797932,149 0.0770145390812,p2399 0.0766488371542,1188 0.0764885108105,2247 0.0764877536649,1708 0.0759034211937,1853 0.0751528542945,251 0.0748859604358,1671 0.0748768428138,3035 0.074604357904,3012 0.0740958004211,3040 0.073282320934,2867 0.0732661061205,1030 0.0728773577791,2407 0.0725217159646,2439 0.0725003577165,1408 0.0714370409525,2155 0.0712661428359,2553 0.0712018595052,2812 0.070902887589,2502 0.0704737776151,p2820 0.069380178739,2329 0.0690886123339,p1502 0.0690864931919,606 0.0686008843165,1238 0.0681741486298,3102 0.0679180105107,2959 0.0675147185446,2105 0.0674111925323,2786 0.0671381481485,2647 0.0666823071043,1392 0.0664265651559,2345 0.0663061769987,400 0.066133425985,2964 0.0660351782014,2542 0.0656424853855,3030 0.0653718376763,2522 0.0644973701684,2469 0.0640875004283,2514 0.0640578543971,1486 0.0638080172538,2607 0.0635876960014,2295 0.0632007924299,1457 0.0631766004562,2218 0.0629845048364,1465 0.0627935511362,2622 0.0626486831168,1901 0.0624018525706,2358 0.0621923103632,2527 0.061932488564,3144 0.0618396830431,2534 0.0617961003651,946 0.0611462184979,2225 0.0609607886452
6,438 0.207737016866,2826 0.174922358614,705 0.130450083712,888 0.130450083712,p2828 0.130405621536,704 0.12898822851,887 0.12898822851,492 0.1260615479,2087 0.125656561826,1014 0.12546492093,530 0.125000433981,1009 0.12142523801,1867 0.120768499809,435 0.115441436481,695 0.113253329251,2230 0.112118224366,p1543 0.110341311869,2417 0.102380730953,1623 0.101064121608,2873 0.0967142328658,1234 0.0908209146226,605 0.0893269054993,242 0.0891993632949,2671 0.0834414412849,2502 0.0833395810252,1186 0.0829266036398,2721 0.0800215464919,1365 0.0793440924437,2505 0.0782014059547,697 0.0748770284679,1664 0.074569929688,2176 0.0733744905236,1397 0.0732918922676,1148 0.0716947804917,531 0.0699263344203,768 0.068168486453,767 0.0679573083909,2836 0.0666283815031,417 0.0660330235373,2389 0.0659490711043,p2078 0.0637536610556,3188 0.0611900465287,3035 0.060970228159,616 0.0570604431858,2707 0.0569029451161,1368 0.0564586093679,1046 0.0560999241726,1541 0.0556223988479,2931 0.0543043205533,2804 0.0542524469618,2187 0.0541146700872,397 0.0539384612452,2772 0.0529501403866,3040 0.0507781628023,2834 0.0481212851141,1385 0.0479567532945,2667 0.0468418502409,2406 0.046255146991,971 0.0459835985685,2485 0.045024975777,2399 0.0446760989793,2753 0.0436437129553,3172 0.0424546926439,2666 0.0423851280532,2306 0.0422383476403,1001 0.0420630874757,1404 0.0415199112121,1113 0.0412259440341,2705 0.0411638513837,320 0.0407601170216,1621 0.0406827838292,3148 0.040204338631,3086 0.0397120576213,2518 0.0393173125561,3000 0.0392939064844,1083 0.0391195889154,2547 0.0388383990626,3154 0.0379138550121,1781 0.0366721560351,2712 0.0363402484798,1267 0.0359270869606,1088 0.0358787597665,2936 0.0352888595831,3135 0.034989252525,3008 0.0343413423726,1948 0.0339263815872,1413 0.0335205807558,1748 0.0334294935783,2698 0.0333608706909,1885 0.0326265647533,3018 0.0324182397984,2357 0.0316026316562,71 0.0314429521505,2886 0.0314426290071,1433 0.0311127127638,2319 0.0306373491982,2189 0.0306301169699,3117 0.0304051686454,1698 0.030363225813,2765 0.0303000857675
7,270 0.332267269004,p3043 0.242515504018,p2912 0.154174426055,356 0.145709447902,740 0.145709447902,136 0.144947816044,2949 0.13866060817,p2376 0.12932345873,p3141 0.12894819203,p3148 0.12416651944,371 0.122675688293,p2865 0.119583422026,2725 0.117563637519,1623 0.115714203564,1952 0.114592845783,p3128 0.11126658794,2317 0.110577569866,412 0.106234765509,p2256 0.105648906334,3104 0.100028895548,1342 0.099439446171,1353 0.0993827671744,1243 0.0991919735266,3006 0.0977104345195,2371 0.0962930550645,p2342 0.0950805056383,1381 0.0948759598271,p1338 0.0944440547613,804 0.0941217862163,p1198 0.094112712922,2111 0.0930198675874,2325 0.0927804335978,1440 0.0925300921438,2326 0.0919721544182,1660 0.0918925031148,p2320 0.0918669283051,2740 0.0906748427666,2890 0.0896558349535,2830 0.0894869974344,2424 0.0842539273374,362 0.083455546878,2208 0.0824481779292,2007 0.0815541592261,28 0.0785547205458,46 0.0784791111778,2902 0.0773128360263,1397 0.0768906650998,2950 0.0761307706849,2417 0.0750152323765,1923 0.0745355929762,1145 0.0742939480852,3014 0.0742337783872,88 0.0741113434215,496 0.0740416905583,2972 0.0739550134677,2276 0.0738639678031,1626 0.0738143702227,1851 0.0731679637196,1749 0.0726638312185,2691 0.0725143929625,2306 0.0710120014632,2439 0.0706600843822,2903 0.0702562315966,3 0.0698941932302,1854 0.0698486840509,52 0.0697963702104,2863 0.0695017074566,p2150 0.0692286486057,2871 0.0691980645475,2795 0.0689294856571,2674 0.0689287050309,1374 0.0689225201622,3054 0.0686594981284,1948 0.0685219874371,p2618 0.0679754740515,942 0.06753961036,3061 0.0673772120551,3078 0.0669153545195,2226 0.0667111476827,2324 0.0661344986884,1736 0.0656274557095,2080 0.0653119667426,1553 0.0652518435169,2647 0.0647472134435,2389 0.0646853736343,p2895 0.0646033246352,1601 0.0645426495029,2273 0.0642945300254,2668 0.0639643709168,396 0.0639221807965,1658 0.0638167952728,2942 0.0629991858239,616 0.0624853000458,1153 0.0623544188027,1172 0.0622426926568,2110 0.06222074015,2402 0.0612949929386,2657 0.0612715429646,p1960 0.0609098107846,2454 0.0602491143254
8,2830 0.244607723887,2371 0.221342258548,912 0.217183769912,3 0.19986025116,8 0.199444642932,p2625 0.194522459162,1461 0.186286785616,1611 0.164527366952,757 0.161107105569,2541 0.159980382013,1785 0.158186900854,2614 0.157456585529,1752 0.157232718815,2951 0.156463565925,820 0.153993260357,1685 0.145516319343,p3032 0.138268105991,2522 0.136921598279,1877 0.130961806834,2500 0.130075992476,2482 0.125508164366,492 0.123653871842,2095 0.121526665955,828 0.120579631089,1869 0.120514771367,2858 0.118637811314,2776 0.113801601094,1751 0.113584397179,1754 0.112493291852,3083 0.112022115834,2892 0.111978243562,2949 0.111611681229,3126 0.111163711344,332 0.110623334443,2358 0.110265499608,2109 0.109503637997,2258 0.10818021234,2969 0.108142738638,2920 0.107943837236,1261 0.104960446699,2543 0.103868084013,1211 0.103734251817,1677 0.103571264464,25 0.102793300458,1938 0.101795385867,1723 0.100969572056,2194 0.0994219555022,2080 0.098100066282,2320 0.0980777221768,3127 0.0962159322597,517 0.0961196924998,666 0.0951106041778,2499 0.0946129834797,2860 0.0933147472731,2597 0.0930317833684,2796 0.0923985725512,2379 0.0922161506846,1735 0.0918314771528,3133 0.0912754602947,2501 0.0895762414044,2515 0.089182146995,2900 0.0890540101791,1069 0.0889362342959,1680 0.0888918703164,652 0.088386798745,2991 0.0882746154871,2203 0.0881217952387,1695 0.0880415230461,1928 0.0876255205624,2020 0.0874874821414,2219 0.0869793616185,3040 0.0860150871269,3158 0.0853820817129,40 0.0850958647823,615 0.0847913512631,2128 0.0842487523026,1879 0.0833914575241,2757 0.0832818159604,2632 0.0830120171141,18 0.0828791545767,1505 0.0823620767327,2297 0.0820314976582,1687 0.0816092041227,1688 0.0816092041227,1690 0.0807430978355,2088 0.0807430978355,1846 0.0802300492525,3068 0.0792981143166,2197 0.0778509200377,3053 0.0777268460229,2712 0.0772095563717,441 0.0769386859709,651 0.076558108339,1755 0.0759006071409,2437 0.0754517932485,3110 0.0753916548439,2934 0.0747509062081,383 0.073639415019,405 0.0726325857771,36 0.0718806404438
9,1461 0.2493611841,2371 0.207060262494,25 0.205586600915,p3068 0.177966760597,652 0.17677359749,2949 0.171578632798,18 0.165758309153,2969 0.161704939979,2578 0.16137381281,757 0.161107105569,2849 0.160820985587,p2372 0.16029993704,3137 0.158975752599,2614 0.157456585529,3082 0.1546354016,820 0.153993260357,651 0.153116216678,3174 0.149034160226,p3158 0.146352252102,1685 0.145516319343,2900 0.144376287538,795 0.14316198063,987 0.135105977057,2621 0.131421168661,238 0.126398701161,1745 0.125219864715,1266 0.120899899842,828 0.120579631089,1750 0.115165633875,597 0.114665939924,2454 0.11401895384,2776 0.113801601094,p3128 0.111589744797,3127 0.111181375496,2951 0.108320151397,3148 0.107930112382,88 0.107681285515,3043 0.106288161389,1261 0.104960446699,2358 0.10449377778,1611 0.104445227382,1928 0.103535340951,3141 0.102382433199,239 0.101616676365,52 0.101411774791,1723 0.100969572056,1808 0.100475966782,3038 0.0994629832034,2424 0.0993895115016,1846 0.0991898464787,1695 0.0977806486552,p2870 0.0976065651151,p2632 0.0964814248244,1226 0.0961262385268,517 0.0961196924998,2948 0.0951888698954,666 0.0951106041778,3076 0.0943568482117,2046 0.0940075888042,1360 0.0928757651026,2796 0.0923985725512,2867 0.0917303046949,3133 0.0912754602947,1747 0.0912340465257,2069 0.0907845075927,1153 0.0905988700814,3011 0.0904677743269,633 0.0901216105685,1247 0.0894022489307,2515 0.089182146995,1069 0.0889362342959,2294 0.0887126587198,46 0.0883382418165,2111 0.0880914208679,2818 0.0874680398806,3040 0.0860150871269,1728 0.0858621383658,2581 0.085857833395,2151 0.0854947664401,643 0.0849316712758,2406 0.0836925754197,2840 0.0833243577614,2757 0.0832818159604,1978 0.0827555712814,1462 0.0823516645853,2137 0.0822072500351,2890 0.0817576893984,2482 0.0817307705989,1687 0.0816092041227,1688 0.0816092041227,1690 0.0807430978355,2088 0.0807430978355,2596 0.080291308589,2270 0.0802829905455,2622 0.0795412391877,1951 0.0780218040842,3023 0.0778531285784,2197 0.0778509200377,2712 0.0772095563717,441 0.0769386859709
10,p392 0.429586436543,1142 0.395357139877,920 0.390147929597,p141 0.346713633317,651 0.341206797211,1138 0.328061882672,p1795 0.306648155987,p2785 0.270521988994,762 0.270447599105,34 0.26443678668,1102 0.26021326409,463 0.254273612017,1466 0.25232462184,628 0.245873013736,p3075 0.206689098875,p2685 0.203262912487,249 0.200844236132,p2895 0.197107686316,1367 0.196966161736,2266 0.190930919536,35 0.18955314921,p2700 0.182929902176,119 0.18001755517,1302 0.180003209675,2814 0.179166718782,220 0.176512498478,42 0.176512498478,3059 0.175017417823,2295 0.172338008185,2514 0.171226369013,p1158 0.170602986619,1569 0.166886791372,2952 0.165241888081,1269 0.163660265094,3073 0.163310400148,210 0.159393212164,1828 0.159296190705,1536 0.158185109782,2973 0.158155758536,532 0.154255802417,2182 0.153577854008,121 0.152056379221,p1262 0.147569465865,p2714 0.145835185561,p1601 0.144129107246,676 0.142508542157,2661 0.141407367919,2647 0.139759665797,1306 0.136353359582,2326 0.134736462064,p2896 0.134440761318,1852 0.133256055585,2557 0.132955359664,p2851 0.132908900807,p1747 0.132628342342,1459 0.132346013255,p950 0.131009159928,p3156 0.130210973439,2316 0.126387350074,689 0.124983673098,2782 0.124348442906,1496 0.123119516924,2603 0.122565968363,2570 0.120636412712,1216 0.11893746956,1678 0.117979828752,2727 0.117742644945,p1380 0.115803361336,1835 0.114971574287,2080 0.114157248664,1846 0.111728420415,1480 0.111593443991,p1811 0.111561053617,1467 0.110047677332,2865 0.109778281481,83 0.108813157935,194 0.108276228319,1923 0.107865615902,2195 0.106508388174,1468 0.105747543448,1457 0.105628118154,3044 0.105503500411,3148 0.105253499588,1957 0.104773528811,2411 0.103695615117,p2342 0.103676837575,2645 0.103327216263,1309 0.103180115835,2401 0.103081248202,2175 0.102494974412,2084 0.102388561304,2842 0.102360868197,265 0.101106579809,2406 0.100948299083,2126 0.100187684314,1200 0.100186927209,1960 0.100120856812,2824 0.100071616467,1485 0.100021367278,2192 0.0992189645882
